Centrality_Type,Name,Century,RawCentrality,Calculated_In_Degree_Count,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
RawCentrality,Jan Zwicky,20th,0,0,0.0,0.0012380068090374,0.0,0.0,4.997075122549391e-32
RawCentrality,Damon Young,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,Arthur M. Young,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,John Edwin Smith,20th,0,1,0.0003095017022593,0.0,0.1944292870508741,0.0,9.92266458938558e-07
RawCentrality,Xu Liangying,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,W. D. Wright,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,Ursula Wolf,20th,0,0,0.0,0.0003095017022593,0.0,0.0,4.997075122549391e-32
RawCentrality,Susan R. Wolf,20th,0,0,0.0,0.000928505106778,0.0,0.0,4.997075122549391e-32
RawCentrality,Jan WoleÅski,20th,0,0,0.0,0.0012380068090374,0.0,0.0,4.997075122549391e-32
RawCentrality,Karol WojtyÅa,20th,0,0,0.0,0.0136180748994119,0.0,0.0,4.997075122549391e-32
RawCentrality,Richard Dien Winfield,20th,0,0,0.0,0.0021665119158155,0.0,0.0,4.997075122549391e-32
RawCentrality,Mark Wilson,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,Jan Willis,20th,0,0,0.0,0.0049520272361497,0.0,0.0,4.997075122549391e-32
RawCentrality,Frederick Wilhelmsen,20th,0,0,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32
RawCentrality,Alan R. White,20th,0,1,0.0003095017022593,0.0049520272361497,0.0003095017022593,0.000136205605772,3.274883152313969e-27
RawCentrality,Alan White,20th,0,1,0.0003095017022593,0.0006190034045187,0.0003095017022593,1.565075687379645e-07,3.274883152313969e-27
RawCentrality,Robert B. Westbrook,20th,0,0,0.0,0.0003095017022593,0.0,0.0,4.997075122549391e-32
RawCentrality,Adi Shankara,1st??0th,0,126,0.0389972144846796,0.0266171463943051,0.3804649651101663,0.0123359603977759,0.0468073010413424
RawCentrality,Abhinavagupta,1st??0th,0,100,0.0309501702259362,0.0201176106468585,0.3619022424176405,0.0061324591290281,0.0118884413378813
RawCentrality,Yajnavalkya,BC,0,42,0.0129990714948932,0.0114515629835964,0.293833541243231,0.0006983750412997,0.0019932485184551
RawCentrality,Vasishtha,BC,0,18,0.0055710306406685,0.0040235221293717,0.2411583853965995,9.48069059446098e-05,0.0002657446576997
