Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality
Aenesidemus,0.0170225936242649,0.0052615289384091,0.3573329937085185,0.0007417865256112,0.017865779314858,0,55,,
Antiochus of Ascalon,0.0015475085112968,0.0229031259671928,0.3163453676260547,0.0001493386698409,0.0036251597414257,0,5,,
Arcesilaus,0.0309501702259362,0.0247601361807489,0.3698924708379768,0.0008598191526383,0.0450743755428987,0,100,,
Carneades,0.0309501702259362,0.022284122562674,0.3699863640911403,0.0004383307773736,0.044335562893462,0,100,,
Cicero,0.1176106468585577,0.0352831940575673,0.4586410576894422,0.0147800034304795,0.1141928164710949,0,380,,
Clitomachus,0.0188796038378211,0.0216651191581553,0.3447401327665675,9.623454020714112e-05,0.0314817760215902,0,61,,
Philo of Larissa,0.0294026617146394,0.0225936242649334,0.369657946065698,0.0004695033480904,0.0440634868107954,0,95,,
Plato,0.3076446920458062,0.0411637264004952,0.5368549839178812,0.0660558608917543,0.1996008347378072,0,994,,
Pyrrho,0.0318786753327143,0.0244506344784896,0.3775576431387248,0.0022733374907021,0.0273666257789092,0,103,,
Timon of Phlius,0.0142370783039306,0.0052615289384091,0.3530913956727343,0.0002076006787613,0.0158231537183221,0,46,,
Agrippa the Sceptic,0.0003095017022593,0.0040235221293717,0.2596759809971579,6.58769103106228e-08,0.0002490631763375,0,1,,
Sextus Empiricus,0.0232126276694521,0.0266171463943051,0.3652120474410041,0.0018588173843852,0.0224010100824677,0,75,,
David Hume,0.0885174868461776,0.0560198081089446,0.4484114078871088,0.0256639661039214,0.106615583684169,0,286,1711.0,0.0
Immanuel Kant,0.1015165583410708,0.0467347570411637,0.4475165125382399,0.0277794328744181,0.0933410905596884,0,328,1724.0,0.0
Karl Leonhard Reinhold,0.004333023831631,0.0040235221293717,0.311278437018056,0.0008709180058155,0.0017631953885519,0,14,1757.0,0.0
Gottlob Ernst Schulze,0.0006190034045187,0.0015475085112968,0.2800578886227394,3.4209894312540957e-06,0.0005400258866746,0,2,1761.0,0.0
Robert Fogelin,0.0037140204271123,0.0018570102135561,0.2960416941884934,2.215279209908935e-05,0.0031545317132648,0,12,1932.0,0.0
Benson Mates,0.0034045187248529,0.0021665119158155,0.2924187544060683,4.7935953721786185e-05,0.0027478268111484,0,11,1919.0,0.0
Agastya,0.0099040544722995,0.0086660476632621,0.3014604511555424,0.0008126364690809,0.0017350427345309,0,32,1000.0,0.0
Angiras,0.0055710306406685,0.0040235221293717,0.2684769352250962,0.0003123357935345,0.000499507463647,0,18,,
Ashtavakra,0.0102135561745589,0.0080470442587434,0.2935376661639406,0.0002159459876397,0.0019617988365452,0,33,1000.0,0.0
Dirghatamas,0.0034045187248529,0.0037140204271123,0.2408993110217415,3.1363452647758215e-05,0.0002409232025544,0,11,,
Jaimini,0.0185701021355617,0.0071185391519653,0.3184882074373533,0.0002251135383203,0.0034967662812116,0,60,,
Kapila,0.0216651191581553,0.0102135561745589,0.3194304802404223,0.0008331405304093,0.0036374036747195,0,70,,
Kanada,0.0160940885174868,0.0095945527700402,0.3200617657744943,0.000973114747474,0.0036404539758579,0,52,,
Lopamudra,0.000928505106778,0.0006190034045187,0.2493475804186207,5.851593692869694e-07,7.968323624167239e-05,0,3,1950.0,0.0
Markandeya,0.0071185391519653,0.0037140204271123,0.2686006231156449,1.999079102915717e-05,0.0005549388601379,0,23,1000.0,0.0
Parashara,0.0034045187248529,0.007737542556484,0.2408993110217415,4.461991545611171e-05,0.0002409232025544,0,11,1200.0,0.0
Shvetashvatara,0.0071185391519653,0.0030950170225936,0.2683533611961792,0.0002080703305569,0.0004979400765006,0,23,,
Vasishtha,0.0055710306406685,0.0040235221293717,0.2411583853965995,9.48069059446098e-05,0.0002657446576997,0,18,,
Yajnavalkya,0.0129990714948932,0.0114515629835964,0.293833541243231,0.0006983750412997,0.0019932485184551,0,42,,
Abhinavagupta,0.0309501702259362,0.0201176106468585,0.3619022424176405,0.0061324591290281,0.0118884413378813,0,100,1025.0,0.0
Adi Shankara,0.0389972144846796,0.0266171463943051,0.3804649651101663,0.0123359603977759,0.0468073010413424,0,126,,
Jayanta Bhatta,0.0123800680903744,0.0061900340451872,0.2851533368555311,3.913847236918195e-05,0.0014258257708199,0,40,,
Valluvar,0.0374497059733828,0.0102135561745589,0.4075384541694526,0.0048167946307183,0.0362317531752048,0,121,,
Akka Mahadevi,0.004333023831631,0.0012380068090374,0.267958687625158,9.350521447471828e-05,0.0003498597740819,0,14,1130.0,0.0
Bhoja,0.0046425255338904,0.0003095017022593,0.2411184915363188,2.785525933739347e-06,0.000254085157844,0,15,1010.0,0.0
Basava,0.0061900340451872,0.0074280408542246,0.2710985364711331,0.000576242331741,0.0004170371981811,0,20,1130.0,0.0
Gangesha Upadhyaya,0.007737542556484,0.0049520272361497,0.2811111439415713,0.0006271955887828,0.0011026578497747,0,25,,
Khana,0.0120705663881151,0.0,0.3110163763326863,0.0,0.0030150621816161,0,39,,
Kabir,0.0114515629835964,0.0095945527700402,0.3257120181758765,0.0019987033757742,0.0053842883545439,0,37,1398.0,0.0
Narahari Tirtha,0.0058805323429278,0.0037140204271123,0.2681065540949227,0.0003610533642963,0.0003824396206596,0,19,1243.0,0.0
Ramanuja,0.0238316310739709,0.0083565459610027,0.3269907529640039,0.002991822402107,0.0046840375570326,0,77,1017.0,0.0
Siddheshwar,0.0037140204271123,0.0018570102135561,0.2679094350403542,9.554632730569308e-05,0.0003448372689484,0,12,,
Vedanta Desika,0.0173320953265242,0.0046425255338904,0.3166890345110369,0.0002574413823668,0.0030727709615242,0,56,1268.0,0.0
Raghunatha Siromani,0.0123800680903744,0.0034045187248529,0.2851533368555311,2.41427572690978e-06,0.0014258257708199,0,40,1477.0,0.0
Edwin Bryant,0.0015475085112968,0.0003095017022593,0.2322991921805797,1.1839541889886828e-06,3.391754364965948e-05,0,5,1957.0,0.0
Alcibiades,0.0080470442587434,0.0083565459610027,0.3558499222014276,0.0006355682792972,0.0144062541722491,0,26,,
Anaxagoras,0.0198081089445991,0.025688641287527,0.370880733164643,0.0003681827589313,0.0269925359681862,0,64,,
Anaximander,0.0176415970287836,0.0278551532033426,0.3682570190341201,0.0014483281729776,0.0217424586949619,0,57,,
Antisthenes,0.0154750851129681,0.0232126276694521,0.3628482154187322,0.0007385446270096,0.0190382803553119,0,50,,
Aristotle,0.2562674094707521,0.0263076446920458,0.5150393220272252,0.0324937349912896,0.1708646240912,0,828,,
Democritus,0.0269266480965645,0.025688641287527,0.3724444311580547,0.000471422984416,0.0296906657883433,0,87,,
Diagoras,0.000928505106778,0.0015475085112968,0.2590529247910863,0.0002941350313763,0.0002045011528396,0,3,,
Empedocles,0.0188796038378211,0.0225936242649334,0.3731118088665167,0.0003001673054403,0.0243590646339182,0,61,,
Epicurus,0.0306406685236768,0.0377592076756422,0.3848854717024154,0.0061310908899773,0.0305794585386519,0,99,,
Gorgias,0.0439492417208294,0.0263076446920458,0.4087384412050048,0.0036315093612162,0.0550237052730169,0,142,,
Hippias,0.0315691736304549,0.0244506344784896,0.3868775796515056,0.0008167800269217,0.0301039817377017,0,102,,
Hippocrates,0.0170225936242649,0.0034045187248529,0.3426331173805941,7.476344465602876e-05,0.0155950145348916,0,55,,
Isocrates,0.0089755493655215,0.0037140204271123,0.3548104384948995,9.149167691288567e-06,0.011595285399032,0,29,,
Leucippus,0.0148560817084493,0.0247601361807489,0.3651662987190398,0.0005953156239994,0.019462184098727,0,48,,
Parmenides,0.0380687093779015,0.0284741566078613,0.4091974400160155,0.0042289102819129,0.0542089633546346,0,123,,
Protagoras,0.022284122562674,0.0235221293717115,0.3699394115068648,0.0001875636175215,0.0245164644640582,0,72,,
Pythagoras,0.035902197462086,0.0328071804394924,0.3846315559670266,0.0048551640483377,0.037637227838055,0,116,,
Socrates,0.0826369545032497,0.0303311668214175,0.4320620368569875,0.009945096442008,0.0755802251857031,0,267,,
Thales,0.0235221293717115,0.0263076446920458,0.3701272933816779,0.0007982005876286,0.0256047905927953,0,76,,
Theophrastus,0.0281646549056019,0.0139275766016713,0.3793262931261021,0.0014181566542296,0.0336832378489479,0,91,,
Thucydides,0.0581863200247601,0.0129990714948932,0.4323183394148145,0.0030642014261454,0.0596461233646607,0,188,,
Xenophon,0.0563293098112039,0.0099040544722995,0.4260629293589732,0.0007849082607782,0.0570814410851927,0,182,,
Aristides,0.02909316001238,0.0003095017022593,0.3703624142642732,2.133404420333713e-05,0.0454902542121966,0,94,,
Arius,0.064066852367688,0.0024760136180748,0.3951101331897662,0.0021792256951547,0.0625032341990894,0,207,,
Lucian,0.0405447229959764,0.0114515629835964,0.3979146277196416,0.0031510122922902,0.0331258756061384,0,131,,
Leo Strauss,0.0331166821417517,0.0334261838440111,0.3871344704746474,0.0084578781590129,0.0457989724655402,0,107,1899.0,0.0
Alcmaeon of Croton,0.000928505106778,0.0232126276694521,0.2921257202799974,1.5853548578106345e-07,0.001291223127841,0,3,,
Anniceris,0.0126895697926338,0.000928505106778,0.3521530034638916,1.7315134898233776e-06,0.0146169783554566,0,41,,
Archytas,0.0170225936242649,0.0247601361807489,0.3539918108893861,0.0004616401051583,0.0191674376629471,0,55,,
Callicles,0.0136180748994119,0.0027855153203342,0.3539918108893861,4.114283392194876e-05,0.0157329800865285,0,44,,
Chrysippus,0.0349736923553079,0.0126895697926338,0.3951636929204412,0.0013954237049212,0.0436085484196769,0,113,,
Cleanthes,0.0173320953265242,0.0030950170225936,0.3529204071034013,6.739135276513432e-05,0.0173061613545493,0,56,,
Cleobulus,0.0123800680903744,0.0006190034045187,0.3521104677707566,1.7222999359337798e-06,0.0146132923996651,0,40,,
Diodorus Cronus,0.0142370783039306,0.0064995357474466,0.3526215752599607,0.0007411145911583,0.0155293511939247,0,46,,
Epimenides,0.0129990714948932,0.000928505106778,0.353905859253866,2.348296566941977e-06,0.0152684313959649,0,42,,
Euclid of Megara,0.0133085731971525,0.0232126276694521,0.3522806722264767,0.0006512613703553,0.014850269136139,0,43,,
Hegesias of Cyrene,0.0157845868152274,0.022284122562674,0.3560237619289319,0.0002207577775578,0.014921814568147,0,51,,
Hippasus,0.0164035902197462,0.0253791395852677,0.353905859253866,0.0005515795126724,0.0189383802128523,0,53,,
Lucretius,0.0374497059733828,0.0241411327762302,0.4126730694612252,0.0014378352431784,0.0534158439559565,0,121,,
Menedemus,0.0306406685236768,0.0012380068090374,0.3696110767939767,1.9063471098628173e-05,0.0442391105700456,0,99,,
Metrodorus of Lampsacus,0.0148560817084493,0.0219746208604147,0.3567208226473439,7.886429612032076e-05,0.0147495039957302,0,48,,
Metrodorus of Lampsacus,0.0148560817084493,0.0219746208604147,0.3567208226473439,7.886429612032076e-05,0.0147495039957302,0,48,,
Panaetius,0.0173320953265242,0.0055710306406685,0.3533910246907619,3.70006586115567e-05,0.0169417471773053,0,56,,
Posidonius,0.0204271123491179,0.0108325595790776,0.3550264964893551,0.0001970222194318,0.0208272586554859,0,66,,
Prodicus,0.0136180748994119,0.0232126276694521,0.3534767264064623,6.04354304383667e-05,0.0154207847099996,0,44,,
Speusippus,0.02909316001238,0.0241411327762302,0.37566012405594,0.0007063817378432,0.045904121534131,0,94,,
Stilpo,0.01454658000619,0.0037140204271123,0.3524510413098893,0.000100586817733,0.0156893903311524,0,47,,
Strato of Lampsacus,0.0182606004333023,0.0049520272361497,0.3735899734299749,0.0001240439642865,0.0285903333190348,0,59,,
Theano,0.0117610646858557,0.0225936242649334,0.3520254272037308,2.662807018943052e-06,0.014412378607573,0,38,,
Thrasymachus,0.0151655834107087,0.004333023831631,0.3537770100332639,0.0002944233257631,0.0161322561307894,0,49,,
Xenocrates,0.032497678737233,0.0266171463943051,0.3769230104310958,0.0007821221123605,0.0483724710564727,0,105,,
Zeno of Citium,0.0188796038378211,0.0235221293717115,0.3532197458710886,0.0003397319950436,0.0175555506221479,0,61,,
Zeno of Sidon,0.0204271123491179,0.0074280408542246,0.3604256383128208,6.01218691877455e-05,0.0200962449514962,0,66,,
Alcinous,0.0287836583101207,0.0216651191581553,0.369423718498808,0.0004339458858889,0.0438461126134523,0,93,,
Alexander of Aphrodisias,0.0201176106468585,0.0046425255338904,0.3652578076273768,0.0001804358529765,0.0222536292447027,0,65,,
Ammonius Hermiae,0.0294026617146394,0.0225936242649334,0.3695642194059451,0.0008854277677513,0.0434642373648238,0,95,,
Ammonius Saccas,0.0284741566078613,0.0207366140513772,0.3692833243823277,0.0003684229429434,0.043395958747528,0,92,,
Apollonius of Tyana,0.017951098731043,0.0238316310739709,0.3613191079169676,0.0004647878914094,0.0212277640480789,0,58,,
Apuleius,0.0312596719281956,0.0049520272361497,0.3745499887799171,0.0001267197434858,0.0454536789256136,0,101,,
Marcus Aurelius,0.0204271123491179,0.0064995357474466,0.3585636608455221,0.000353338952931,0.0212260472527125,0,66,,
Calcidius,0.0173320953265242,0.0024760136180748,0.3425123443395717,9.724586614636712e-05,0.0305702230247291,0,56,,
Clement of Alexandria,0.0303311668214175,0.0275456515010832,0.3565899159234366,0.0014058344750485,0.0454415713948701,0,98,,
Damascius,0.0287836583101207,0.0229031259671928,0.3693769086003668,0.0006569525784416,0.0440082977099131,0,93,,
Diogenes of Oenoanda,0.0142370783039306,0.0015475085112968,0.3556762521564293,1.296880340917121e-06,0.0159946360759728,0,46,,
Epictetus,0.0219746208604147,0.025688641287527,0.3599805584927259,0.0013574117198181,0.0217157648351357,0,71,,
Favorinus,0.0129990714948932,0.0064995357474466,0.3521955494350725,0.0003452886249495,0.0146132923996651,0,42,,
Galen,0.0383782110801609,0.0068090374497059,0.392820719939913,0.0018085649617416,0.0408801595873424,0,124,,
Iamblichus,0.0306406685236768,0.0216651191581553,0.370880733164643,0.0008018276937272,0.044601849851677,0,99,,
Lucius Annaeus Cornutus,0.0120705663881151,0.0030950170225936,0.3520679423519438,3.032758540862511e-06,0.0146132923996651,0,39,,
Numenius of Apamea,0.0284741566078613,0.021355617455896,0.3695173738970839,0.0002900065916675,0.0434319467493412,0,92,,
Philostratus,0.0148560817084493,0.021355617455896,0.3565026981379595,0.0004371346734773,0.0180207055267723,0,48,,
Plotinus,0.0584958217270195,0.0436397400185701,0.4224203104874793,0.0077307596263266,0.0826295330836917,0,189,,
Porphyry,0.0408542246982358,0.02909316001238,0.3836192344616521,0.0032913219329999,0.0571487913784633,0,132,,
Proclus,0.0516867842773135,0.0269266480965645,0.4162082470979575,0.0022471178070853,0.0806535544712326,0,167,,
Syrianus,0.02909316001238,0.0216651191581553,0.369423718498808,0.0003027309521218,0.0440134022542434,0,94,,
Anacharsis,0.0037140204271123,0.0003095017022593,0.3122787962157573,5.718729833625695e-07,0.0017151140181339,0,12,,
Archimedes,0.0151655834107087,0.0099040544722995,0.3526642345359417,0.0004134117353832,0.0138719503523117,0,49,,
