Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Activity Year,Adjusted_In_Degree_Centrality
Averroes,0.1039925719591457,0.0430207366140513,0.4600887883008356,0.0166432017783804,0.1234973570709426,0,336,1126.0,0.0,7.5,0.0094725112551424
Immanuel Kant,0.1015165583410708,0.0467347570411637,0.4475165125382399,0.0277794328744181,0.0933410905596884,0,328,1724.0,0.0,18.0,0.0092533204434301
Voltaire,0.0990405447229959,0.0244506344784896,0.4511875193737958,0.0182807881739809,0.0740384775135735,0,320,1694.0,0.0,17.0,0.0090270383775974
Bertrand Russell,0.0968740328071804,0.0665428659857629,0.4528697471918742,0.0289957950220393,0.1150673824918562,0,313,1872.0,0.0,19.0,0.008830729053407
Thomas Aquinas,0.0962550294026617,0.0541627978953884,0.4400185000262784,0.0211778008829496,0.1200000695041298,0,311,1225.0,0.0,7.5,0.0087677113105634
Ibn Khaldun,0.0897554936552151,0.0157845868152274,0.4506992211926554,0.0059132382492308,0.0891980125089944,0,290,1332.0,0.0,7.5,0.0081756793571169
David Hume,0.0885174868461776,0.0560198081089446,0.4484114078871088,0.0256639661039214,0.106615583684169,0,286,1711.0,0.0,18.0,0.008068444045186
Anselm,0.0875889817393995,0.0622098421541318,0.4268115025877151,0.0128732538355945,0.1165392746286676,0,283,1034.0,0.0,7.5,0.0079783353726348
Al-Ghazali,0.0789229340761374,0.0278551532033426,0.4439047605716605,0.0088624210413176,0.0888001758186082,0,255,1058.0,0.0,7.5,0.0071889594347063
Karl Marx,0.0783039306716187,0.0411637264004952,0.4153187865328529,0.0174897513822824,0.0619968417135605,0,253,1818.0,0.0,19.0,0.0071379375415718
Al-Farabi,0.0699473847106159,0.0362116991643454,0.4319339995072003,0.0077123668784816,0.0843009223011909,0,226,,,0.5,0.0063684927796353
